player_id,player_name,team,element_type,price,id_team,team_name,team_short,id_position,position,opponent,is_home,name_key,odds_player_name,home_team,away_team,goal_odds,goal_prob,appearance_points,clean_sheet_prob,goal_points,clean_sheet_points,expected_points
615,Summerville,19,3,5.6,19,West Ham,WHU,3,MID,Wolves,1,summerville,Crysencio Summerville,West Ham United,Wolverhampton Wanderers,2.8,0.3571428571428571,2,0.3,1.7857142857142856,0.3,4.085714285714285
66,Neto,4,1,4.5,4,Bournemouth,BOU,1,GKP,Arsenal,0,neto,Andre Trindade da Costa Neto,West Ham United,Wolverhampton Wanderers,14.0,0.0714285714285714,2,0.3,0.714285714285714,1.2,3.9142857142857137
603,Diouf,19,2,4.1,19,West Ham,WHU,2,DEF,Wolves,1,diouf,El Hadji Diouf,West Ham United,Wolverhampton Wanderers,8.5,0.1176470588235294,2,0.3,0.7058823529411764,1.2,3.905882352941177
659,Walker-Peters,19,2,4.2,19,West Ham,WHU,2,DEF,Wolves,1,walker-peters,Kyle Walker-Peters,West Ham United,Wolverhampton Wanderers,9.0,0.1111111111111111,2,0.3,0.6666666666666666,1.2,3.8666666666666663
608,Scarles,19,2,4.3,19,West Ham,WHU,2,DEF,Wolves,1,scarles,Oliver Scarles,West Ham United,Wolverhampton Wanderers,9.5,0.1052631578947368,2,0.3,0.6315789473684208,1.2,3.8315789473684205
609,Todibo,19,2,4.3,19,West Ham,WHU,2,DEF,Wolves,1,todibo,Jean-Clair Todibo,West Ham United,Wolverhampton Wanderers,9.5,0.1052631578947368,2,0.3,0.6315789473684208,1.2,3.8315789473684205
610,Wan-Bissaka,19,2,4.1,19,West Ham,WHU,2,DEF,Wolves,1,wan-bissaka,Aaron Wan-Bissaka,West Ham United,Wolverhampton Wanderers,9.5,0.1052631578947368,2,0.3,0.6315789473684208,1.2,3.8315789473684205
747,Mayers,19,2,4.0,19,West Ham,WHU,2,DEF,Wolves,1,mayers,Ezra Mayers,West Ham United,Wolverhampton Wanderers,9.5,0.1052631578947368,2,0.3,0.6315789473684208,1.2,3.8315789473684205
662,Mosquera,1,2,5.3,1,Arsenal,ARS,2,DEF,Bournemouth,1,mosquera,Yerson Mosquera,West Ham United,Wolverhampton Wanderers,10.0,0.1,2,0.3,0.6000000000000001,1.2,3.8
606,Mavropanos,19,2,4.4,19,West Ham,WHU,2,DEF,Wolves,1,mavropanos,Konstantinos Mavropanos,West Ham United,Wolverhampton Wanderers,10.0,0.1,2,0.3,0.6000000000000001,1.2,3.8
634,Mosquera,20,2,4.3,20,Wolves,WOL,2,DEF,West Ham,0,mosquera,Yerson Mosquera,West Ham United,Wolverhampton Wanderers,10.0,0.1,2,0.3,0.6000000000000001,1.2,3.8
632,Doherty,20,2,4.4,20,Wolves,WOL,2,DEF,West Ham,0,doherty,Matt Doherty,West Ham United,Wolverhampton Wanderers,14.0,0.0714285714285714,2,0.3,0.4285714285714284,1.2,3.628571428571428
695,Tchatchoua,20,2,4.4,20,Wolves,WOL,2,DEF,West Ham,0,tchatchoua,Jackson Tchatchoua,West Ham United,Wolverhampton Wanderers,14.0,0.0714285714285714,2,0.3,0.4285714285714284,1.2,3.628571428571428
624,Bowen,19,4,7.5,19,West Ham,WHU,4,FWD,Wolves,1,bowen,Jarrod Bowen,West Ham United,Wolverhampton Wanderers,2.85,0.3508771929824561,2,0.3,1.4035087719298245,0.0,3.4035087719298245
644,Bellegarde,20,3,5.1,20,Wolves,WOL,3,MID,West Ham,0,bellegarde,Jeanricner Bellegarde,West Ham United,Wolverhampton Wanderers,5.5,0.1818181818181818,2,0.3,0.909090909090909,0.3,3.209090909090909
236,Neto,7,3,7.0,7,Chelsea,CHE,3,MID,Man City,1,neto,Andre Trindade da Costa Neto,West Ham United,Wolverhampton Wanderers,14.0,0.0714285714285714,2,0.3,0.357142857142857,0.3,2.6571428571428566
